Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1516665600000,0.092276,0.092795,0.08928,0.090938,196525.728,1516751999999,17953.42086728,409917,92888.214,8489.6669004,0.0
1516752000000,0.090938,0.09423,0.090338,0.093406,208910.962,1516838399999,19174.0349099,410643,100599.126,9236.6015492,0.0
1516838400000,0.093499,0.095421,0.093,0.094292,126213.647,1516924799999,11905.95595628,233353,60565.927,5715.80663286,0.0
1516924800000,0.094268,0.096933,0.09266,0.094828,173629.036,1517011199999,16476.66456653,343882,89893.097,8536.12146592,0.0
1517011200000,0.094763,0.098,0.0945,0.097342,133169.039,1517097599999,12776.14498942,283840,60857.458,5838.74707338,0.0
1517097600000,0.097433,0.105639,0.097105,0.105244,180711.078,1517183999999,18410.30170023,449131,84820.234,8631.03199125,0.0
1517184000000,0.105244,0.10598,0.1033,0.10454,129263.33,1517270399999,13555.69704877,342462,59337.384,6224.15788597,0.0
1517270400000,0.104632,0.108,0.103102,0.106081,130548.124,1517356799999,13833.75101086,320221,61968.157,6568.67913147,0.0
1517356800000,0.106058,0.110879,0.105552,0.109451,99941.486,1517443199999,10818.76634117,221996,41948.572,4539.89166854,0.0
1517443200000,0.109451,0.123799,0.109343,0.113185,234038.204,1517529599999,27033.34409299,620714,106382.739,12290.72929441,0.0
1517529600000,0.113075,0.115,0.09688,0.1039,250334.442,1517615999999,26575.1803737,651394,116436.187,12377.04255676,0.0
1517616000000,0.103976,0.1075,0.103,0.105516,118577.429,1517702399999,12486.47773993,422763,56075.248,5906.95062302,0.0
1517702400000,0.105516,0.106,0.098753,0.10087,122975.365,1517788799999,12643.15648787,477254,56631.975,5825.15348554,0.0
1517788800000,0.100869,0.103672,0.095632,0.100809,171027.107,1517875199999,17144.9976332,543694,82380.863,8260.84573973,0.0
1517875200000,0.100787,0.102313,0.094431,0.101896,222283.824,1517961599999,21979.65141488,654283,101557.724,10042.66174973,0.0
1517961600000,0.10177,0.102571,0.099045,0.099359,106109.231,1518047999999,10685.82498436,296719,51001.625,5139.19206542,0.0
1518048000000,0.099311,0.100679,0.09885,0.100298,3008.81,1518134399999,300.18848364,12561,1478.18,147.68866787,0.0
1518134400000,0.10013,0.101551,0.099129,0.101033,72149.947,1518220799999,7268.17093763,177640,33109.409,3336.64837283,0.0
1518220800000,0.101029,0.101146,0.099203,0.099682,147532.975,1518307199999,14795.3251989,415256,70492.219,7071.55743675,0.0
